﻿msg_0,[end]
msg_1,[end]
msg_2,[end]
msg_3,[end]
msg_4,[end]
msg_5,[end]
msg_6,[end]
msg_7,[end]
msg_8,[end]
msg_9,[end]
msg_10,[end]
msg_11,[end]
msg_12,"[color(yellow)][var(msg_var_0)][color(white)]
人は時折、その様に滑稽な振舞いを示しますね。
私達には、とても奇妙に見受けられます…
[wait][clear][end]"
msg_13,"[color(yellow)][var(msg_var_0)][color(white)]
ふむ…
人の言動は、時に不可解です…
[wait][clear][end]"
msg_14,"[color(yellow)][var(msg_var_0)][color(white)]
何がお聞きになりたいのですか？
貴方のように美しい方でしたら
如何様にも、お答えしましょう！
[wait][clear][end]"
msg_15,"[color(yellow)][var(msg_var_0)][color(white)]
ふふふふふ…
他愛無い言動で、私の気を引こうとは、
微笑ましいですね…
[wait][clear][end]"
msg_16,"[color(yellow)][var(msg_var_0)][color(white)]
ふふふふふ…
貴方の熱意には、頭が下がります…
[wait][clear][end]"
msg_17,"[color(yellow)][var(msg_var_0)][color(white)]
ふふふふふ…
近頃、何事にも積極的な女性が
多い様ですね…
[wait][clear][end]"
msg_18,"[color(yellow)][var(msg_var_0)][color(white)]
下らない余興に付き合う程
私は暇ではありません！
[wait][clear][end]"
msg_19,"[color(yellow)][var(msg_var_0)][color(white)]
その様な詐術を用いて、私の協力を得ようなど
夢物語も大概にして頂きたい！
[wait][clear][end]"
msg_20,"[color(yellow)][var(msg_var_0)][color(white)]
む、むぅ…
それは、この私を翻弄する為の
演技では…
[wait][clear][end]"
msg_21,"[color(yellow)][var(msg_var_0)][color(white)]
む、むぅ…
その様な詐術で、私を翻弄なさるおつもりですか…
[wait][clear][end]"
msg_22,"[color(yellow)][var(msg_var_0)][color(white)]
い、一体、何を目的とした言動なのです？
糸口が、全く掴めません…
[wait][clear][end]"
msg_23,"[color(yellow)][var(msg_var_0)][color(white)]
ふむ…
占術とは、実に人間らしい…
[wait][clear][end]"
msg_24,"[color(yellow)][var(msg_var_0)][color(white)]
太古の昔、占術は常に生活の一部でした…
しかし、現代人は己の意思を強く持ち、
あくまでも、占いは指標と心掛ける事です…
[wait][clear][end]"
msg_25,"[color(yellow)][var(msg_var_0)][color(white)]
ふふふふふ…
この私の身を案じての所業ですか…
正に随喜の涙を流す思いです…
[wait][clear][end]"
msg_26,"[color(yellow)][var(msg_var_0)][color(white)]
何と戯けた行為を！
何時までも、まやかしに頼っているから、
人は己を見失うのです！！
[wait][clear][end]"
msg_27,"[color(yellow)][var(msg_var_0)][color(white)]
何とくだらない！
[wait][clear][end]"
msg_28,"[color(yellow)][var(msg_var_0)][color(white)]
むぅ…
貴方の占術は、悪意に満ちています…
[wait][clear][end]"
msg_29,"[color(yellow)][var(msg_var_0)][color(white)]
貴方の追求する真相が明らかになる事により
他の何方かが不幸になる可能性もあるのですよ…
[wait][clear][end]"
msg_30,"[color(yellow)][var(msg_var_0)][color(white)]
成る程…
濡れ衣を着せようとは…
なかなか面白い事を考えますね。
[wait][clear][end]"
msg_31,"[color(yellow)][var(msg_var_0)][color(white)]
ふふふふふ…
その貴方の、肝が据わった態度には、
実に、感心します…
[wait][clear][end]"
msg_32,"[color(yellow)][var(msg_var_0)][color(white)]
無礼な！
口を慎みなさい！！
[wait][clear][end]"
msg_33,"[color(yellow)][var(msg_var_0)][color(white)]
人間の女性に、この私が関わり合うとでも？
侮辱も大概にしなさい！！
[wait][clear][end]"
msg_34,"[color(yellow)][var(msg_var_0)][color(white)]
わ、私は何も…
[wait][clear][end]"
msg_35,"[color(yellow)][var(msg_var_0)][color(white)]
は、犯罪など
滅相もない事です…
[wait][clear][end]"
msg_36,"[color(yellow)][var(msg_var_0)][color(white)]
ふむ…
其の程度では、私の声紋か否か、
判断しかねます…
[wait][clear][end]"
msg_37,"[color(yellow)][var(msg_var_0)][color(white)]
壁に耳有り障子に目有りという訳ですか…
この私に悟られずに、盗聴なさるとは、
只者ではありませんね…
[wait][clear][end]"
msg_38,"[color(yellow)][var(msg_var_0)][color(white)]
ほう…
これは驚きました…
[wait][clear][end]"
msg_39,"[color(yellow)][var(msg_var_0)][color(white)]
ふふふふふ…
貴方の詐術には、実に感心しました…
よくも、この私の声紋に似せられたものです…
[wait][clear][end]"
msg_40,"[color(yellow)][var(msg_var_0)][color(white)]
その様な詐術で、この私に一杯食わせようなど、
思い上がりも甚だしい！
仏の顔も三度までです！！
[wait][clear][end]"
msg_41,"[color(yellow)][var(msg_var_0)][color(white)]
種族は違えど、同じ男性として
あまりに卑怯な行為！
誇り高き男の顔に、泥を塗るおつもりですか！
[wait][clear][end]"
msg_42,"[color(yellow)][var(msg_var_0)][color(white)]
そ、それは、確かに私の声紋…
この私が、寝首を掻かれるとは…
[wait][clear][end]"
msg_43,"[color(yellow)][var(msg_var_0)][color(white)]
ふむ…
日本は、改革を求める程、
荒廃しているのですか？
[wait][clear][end]"
msg_44,"[color(yellow)][var(msg_var_0)][color(white)]
千人心を同じくすれば、則ち千人力の力を得、
万人心を異にすれば、則ち一人の用なし…
貴方の人望で、世界は動くやもしれません…
[wait][clear][end]"
msg_45,"[color(yellow)][var(msg_var_0)][color(white)]
ふふふふふ…
その勢いで、治世を進行し、
一国の主とでもなりますか…
[wait][clear][end]"
msg_46,"[color(yellow)][var(msg_var_0)][color(white)]
欺瞞に満ちた言説で
国民を躍らせるおつもりですか！？
傲慢にも程があるというものです！！
[wait][clear][end]"
msg_47,"[color(yellow)][var(msg_var_0)][color(white)]
むぅ！
其れ程の熱意を持ちながら、
環境問題をないがしろにした罪は重いですよ！
[wait][clear][end]"
msg_48,"[color(yellow)][var(msg_var_0)][color(white)]
むぅ…
盛んな政の裏に、独裁者の影が…
[wait][clear][end]"
msg_49,"[color(yellow)][var(msg_var_0)][color(white)]
ふむ…
貴方は更に
お美しくなられる可能性を秘めている…
[wait][clear][end]"
msg_50,"[color(yellow)][var(msg_var_0)][color(white)]
成る程…
そのお美しい体形も
豊かになった食文化の賜物ですね…
[wait][clear][end]"
msg_51,"[color(yellow)][var(msg_var_0)][color(white)]
ふふふふふ…
蝶の舞とでも、申しましょうか…
[wait][clear][end]"
msg_52,"[color(yellow)][var(msg_var_0)][color(white)]
むぅ！
己の美に翻弄されようとは、
実に愚かな娘！！
[wait][clear][end]"
msg_53,"[color(yellow)][var(msg_var_0)][color(white)]
ふむ…
其れは読心術ですか…
[wait][clear][end]"
msg_54,"[color(yellow)][var(msg_var_0)][color(white)]
ほう…
中々鋭い眼をしていますね…
[wait][clear][end]"
msg_55,"[color(yellow)][var(msg_var_0)][color(white)]
ふふふふふ…
瞳で語り掛けようとは、新たな試みですね…
[wait][clear][end]"
msg_56,"[color(yellow)][var(msg_var_0)][color(white)]
その言動は、
私を[var(msg_var_0)]と知っての事ですか！
[wait][clear][end]"
msg_57,"[color(yellow)][var(msg_var_0)][color(white)]
むぅ…
此れほどの威圧感が、
貴方に備わっていようとは…
[wait][clear][end]"
msg_58,"[color(yellow)][var(msg_var_0)][color(white)]
古き時代の娘と比べれば、
貴方がた女性の容姿も
随分変化したものです…
[wait][clear][end]"
msg_59,"[color(yellow)][var(msg_var_0)][color(white)]
成る程…
女同志の争いが
醜いと言われる由縁が伺えますね…
[wait][clear][end]"
msg_60,"[color(yellow)][var(msg_var_0)][color(white)]
ふふふふふ…
美は、女性の永遠の主題…
各々、磨きをかけられよ…
[wait][clear][end]"
msg_61,"[color(yellow)][var(msg_var_0)][color(white)]
むぅ！
容姿を競うよりも、
まず、己の中身を見直すべきです！！
[wait][clear][end]"
msg_62,"[color(yellow)][var(msg_var_0)][color(white)]
容姿に執着する、その醜いお姿…
貴方がたに託す未来が心配です…
[wait][clear][end]"
msg_63,"[color(yellow)][var(msg_var_0)][color(white)]
ふむ…
貴方からは、
底知れぬ自信が感じられます…
[wait][clear][end]"
msg_64,"[color(yellow)][var(msg_var_0)][color(white)]
ふふふふふ…
実に、頼もしい方だ…
[wait][clear][end]"
msg_65,"[color(yellow)][var(msg_var_0)][color(white)]
むっ！
貴方がた人間に申し合わせた所で、
「下手の考え休むに似たり」というものです！！
[wait][clear][end]"
msg_66,"[color(yellow)][var(msg_var_0)][color(white)]
戯れ言を！
人間に情を掛けられる程、
私は堕落してはいません！！
[wait][clear][end]"
msg_67,"[color(yellow)][var(msg_var_0)][color(white)]
こ、この私を[var(msg_var_0)]と承知の上で、
何とも傍若無人な振舞いですか…
行く末の安否が気遣われます…
[wait][clear][end]"
msg_68,"[color(yellow)][var(msg_var_0)][color(white)]
ふむ…
貴方がたの話に、つい聞き入ってしまいました…
[wait][clear][end]"
msg_69,"[color(yellow)][var(msg_var_0)][color(white)]
たまの一時、人の会話に耳を傾けるも
息抜きになるものです…
[wait][clear][end]"
msg_70,"[color(yellow)][var(msg_var_0)][color(white)]
ふふふふふ…
そうです…その様に、現代の人間は
もっと、お互いに接触を図るべきです…
[wait][clear][end]"
msg_71,"[color(yellow)][var(msg_var_0)][color(white)]
一体、ここを何処だとお思いなのです！
世間話で時間を潰す程
貴方がたに、余裕は残されていない筈！
[wait][clear][end]"
msg_72,"[color(yellow)][var(msg_var_0)][color(white)]
むぅ！
語る余裕がお有りならば、
人は、他にするべき事があるはずです！
[wait][clear][end]"
msg_73,"[color(yellow)][var(msg_var_0)][color(white)]
蝶の舞とは、正に此れ也…
それ程の芸には、滅多にお目に掛かれません…
[wait][clear][end]"
msg_74,"[color(yellow)][var(msg_var_0)][color(white)]
ふふふふふ…
その素晴らしい芸を絶やさぬ様
是非、新たな世代へ伝承して頂きたい…
[wait][clear][end]"
msg_75,"[color(yellow)][var(msg_var_0)][color(white)]
ふふふふふ…
人が一心不乱になられているお姿は、
実に、微笑ましい…
[wait][clear][end]"
msg_76,"[color(yellow)][var(msg_var_0)][color(white)]
むぅ！
所作を用いて、接触を図ろうなど
時代錯誤も甚だしい！！
[wait][clear][end]"
msg_77,"[color(yellow)][var(msg_var_0)][color(white)]
静粛に！！
ここを何処だとお思いなのです！
[wait][clear][end]"
msg_78,"[color(yellow)][var(msg_var_0)][color(white)]
む、むぅ…
其れが、暗黒をもたらすと伝えられる
「死の舞」ですか…
[wait][clear][end]"
msg_79,"[color(yellow)][var(msg_var_0)][color(white)]
ふむ…
其処まで仰るのならば、
貢物の一つも用意されているのでしょうね…
[wait][clear][end]"
msg_80,"[color(yellow)][var(msg_var_0)][color(white)]
うむ…
さぞ、今までに苦労なされたのでしょう…
私の力にあやかりたい気持も頷けます…
[wait][clear][end]"
msg_81,"[color(yellow)][var(msg_var_0)][color(white)]
其処まで仰るのであれば、
考えさせて頂きましょう…
[wait][clear][end]"
msg_82,"[color(yellow)][var(msg_var_0)][color(white)]
実にくだらない…
貴方がたの言動は、主君の恩寵を
失うというものです！！
[wait][clear][end]"
msg_83,"[color(yellow)][var(msg_var_0)][color(white)]
むぅ！
安易に他者の力を頼ろうなど、もってのほか！
努力を惜しむものではありません！！
[wait][clear][end]"
msg_84,"[color(yellow)][var(msg_var_0)][color(white)]
ふむ…
人の思想も、
次第に神に近づきつつある様子…
[wait][clear][end]"
msg_85,"[color(yellow)][var(msg_var_0)][color(white)]
我考える故に、我有り…
存在の証とは、常に切ないものです…
[wait][clear][end]"
msg_86,"[color(yellow)][var(msg_var_0)][color(white)]
ふふふふふ…
その追求心こそが、
「生」への活力なのです…
[wait][clear][end]"
msg_87,"[color(yellow)][var(msg_var_0)][color(white)]
ふふふふふ…
心に誠あれば、神慮に叶うもの…
己に自信を持たれよ！
[wait][clear][end]"
msg_88,"[color(yellow)][var(msg_var_0)][color(white)]
南条とやら…
貴方の格言は、所詮、借り物…
生兵法は怪我の元です！！
[wait][clear][end]"
msg_89,"[color(yellow)][var(msg_var_0)][color(white)]
南条とやらの思想は、
人類を翻弄させるに値する
危険性を秘めている…
[wait][clear][end]"
msg_90,"[color(yellow)][var(msg_var_0)][color(white)]
うむ…
何と不器用な方だ…
[wait][clear][end]"
msg_91,"[color(yellow)][var(msg_var_0)][color(white)]
難題を抱え、思案に余るご様子…
貴方の弟の問題を解決するには
其れ相応の時が必要なのです…
[wait][clear][end]"
msg_92,"[color(yellow)][var(msg_var_0)][color(white)]
ふふふふふ…
兄弟末永く、仲良くするのですよ…
[wait][clear][end]"
msg_93,"[color(yellow)][var(msg_var_0)][color(white)]
ふふふふふ…
不器用なりに、弟を気遣っているのですね。
微笑ましい方だ…
[wait][clear][end]"
msg_94,"[color(yellow)][var(msg_var_0)][color(white)]
むぅ！
私の同情を誘おうとは、不謹慎な！！
[wait][clear][end]"
msg_95,"[color(yellow)][var(msg_var_0)][color(white)]
むっ！！
その余興は、実弟を人類に殺された
この私への当てつけですか！！
[wait][clear][end]"
msg_96,"[color(yellow)][var(msg_var_0)][color(white)]
むぅ…
貴方がた、兄弟の心が一つに成った時
私達をも凌駕する、強大な力が…
[wait][clear][end]"
msg_97,"[color(yellow)][var(msg_var_0)][color(white)]
ふむ…
酒と言えば、つまみが付き物でしょうね…
[wait][clear][end]"
msg_98,"[color(yellow)][var(msg_var_0)][color(white)]
ふむ…
酒は百薬の長と申しますが
己を失う前に、程々にしておく事です…
[wait][clear][end]"
msg_99,"[color(yellow)][var(msg_var_0)][color(white)]
ふふふふふ…
貴方がたの語らいに耳を傾けてましたら
久々に、御神酒にあやかりたくなりました…
[wait][clear][end]"
msg_100,"[color(yellow)][var(msg_var_0)][color(white)]
酒で身を滅ぼした人の数知れず…
人間の酒好きにも呆れたものです！
[wait][clear][end]"
msg_101,"[color(yellow)][var(msg_var_0)][color(white)]
この様な場で、よくも酒の話など！
常識外れも甚だしい！！
[wait][clear][end]"
msg_102,"[color(yellow)][var(msg_var_0)][color(white)]
ふむ…
片意地を張るだけが、能ではありません…
時に引く事も大切なのです…
[wait][clear][end]"
msg_103,"[color(yellow)][var(msg_var_0)][color(white)]
「金持ち喧嘩せず」…
覚えておきなさい…
優位に立つ者は、無駄な争いをせぬものです…
[wait][clear][end]"
