﻿msg_0,"ヒットＩＤがみつかりません。
[wait][clear][end]"
msg_1,"[color(yellow)]うらら[color(white)]
こんな所でアイテム売ってるんだぁ…
だけどそんな物、
どこから調達してくるんだろ？
[wait][clear][end]"
msg_2,"[color(yellow)]克哉[color(white)]
こ…この部屋はなんだ？
あのフィレモンの空間と似た気配を感じるが…
ここも異世界なのか…
[wait][clear][end]"
msg_3,"[color(yellow)]克哉[color(white)]
事件の起きた場所には、
何故か独特の雰囲気が漂う。
そのせいか、薄気味悪い話もよく聞くんだ。
[wait][clear][end]"
msg_4,"[color(yellow)]克哉[color(white)]
先日起きた猟奇殺人の現場にも、
その手の怖い話があってな…まったく、
冗談でも、ああいう話は止めてほしいものだ。
[wait][clear][end]"
msg_5,"[color(yellow)]克哉[color(white)]
回復料金もそうだが、
アイテムの価格も街とは随分違うな…
妖精のする事とは思えん。
[wait][clear][end]"
msg_6,"[color(yellow)]パオフゥ[color(white)]
俺もこの部屋の事はよく知らねぇんだ。
あのチロチロ飛んでる奴がここの主だろ？
話を聞いてみたらどうだ？
[wait][clear][end]"
msg_7,"[color(yellow)]パオフゥ[color(white)]
守銭奴妖精に、お喋り悪魔…
こんな連中ばかり見ていると、
世の怪談話も嘘臭く思えてこねぇか？
[wait][clear][end]"
msg_8,"[color(yellow)]パオフゥ[color(white)]
だがな、マジに怖い話ってのがあってな、
俺も、それを聞いた時は、さすがにブルッたぜ。
ま、そのうち気が向いたら話してやらぁ。
[wait][clear][end]"
msg_9,"[color(yellow)]パオフゥ[color(white)]
あの妖精、
サトミタダシとグルなんじゃねぇのか？
そのうち、ＢＧＭも歌になったりしてな？
[wait][clear][end]"
msg_10,"[color(yellow)]南条[color(white)]
…また奴か…
どうしてこう行く先々に泉が用意できるんだ？
我々以上の機動力だな…
[wait][clear][end]"
msg_11,"[color(yellow)]南条[color(white)]
法外な回復料金に、高値のアイテム売買か。
亀の歳を鶴がうらやむと言うが、
奴の欲も底無しだな。守銭奴世にはばかるか…
[wait][clear][end]"
msg_12,"[color(yellow)]エリー[color(white)]
見かけに騙されてはダメですわ。
カワイイ顔して、とんでもない守銭奴なんです。
[end]"
msg_13,"まさかまた会う事になるなんて…
[wait][clear][end]"
msg_14,"[color(yellow)]エリー[color(white)]
まえまえから気になっていたのですが…
Ｔｒｉｓｈの言う回復相場って何なのでしょう？
料金は上がる一方ですけど…
[wait][clear][end]"
msg_15,"[color(yellow)][tatsuya][color(white)]
傷薬が５００円ということは、
サトミタダシの５倍の価格で
アイテムを売っているのか…
[wait][clear][end]"
msg_16,"[color(yellow)]トリッシュ[color(white)]
Ｈｉ！Ｗｅｌｃｏｍｅ！！
ようこそ、トリッシュアイテムショップへ♥
うっふふッ。
[sync][wait][clear][end]"
msg_17,"[color(yellow)]トリッシュ[color(white)]
実はね、アイテムも売ることにしたんだ。
回復稼業だけじゃ儲からないんだもん。
ボクも全国制覇を目指すのだ～！
[sync][wait][clear][end]"
